どくとく[独特]  독특
かみさま[神様]  신의 높임말; 아주 뛰어난 사람; 귀신
かたまる[固まる]  굳다; 딱딱해지다; 엉기어 붙다; 확고해지다
かたよる[片寄る·偏る]  치우치다; 기울다; 전체의 균형을 잃다; 불공평하다
かたる[語る]  말하다; 이야기하다; 가락을 붙여 이야기하다
ていりゅうじょ[停留所]  정류장
かたむく[傾く]  기울다; 한쪽으로 쏠리다; →かたむける
てあらい[手洗(い)]  손을 씻음; 손 씻은 물; 변소; 화장실; 손빨래
ものさし[物指(し)·物差(し)]  자; 전하여, 척도; 기준
-がち[勝ち]  그러한 경향·상태가 많음을 나타냄
かた[型]  본; 골; 형; 무도·예도 또는 운동 따위에서 규범이 되는 일정한 형식
ぼうさん[坊さん]  중을 친숙하게 부르는 말
かた[方·片]  결말; 처리
がっか[学科]  학과
がっかい[学会]  학회
めったに  거의; 좀처럼
がっき[学期]  학기
つる[吊る]  달다; 드리우다; 치다; 당겨져 수축하다
がっきゅう[学級]  학급; 반
かっこ[括弧]  괄호
ものがたる[物語る]  말하다; 이야기하다; 비유적으로,  가리키다
かつぐ[担ぐ]  메다; 짊어지다; 받들다; 추대하다; 속이다
かたな[刀]  외날의 칼; 큰 칼; 검; 도검류의 총칭
かつじ[活字]  활자
かつやく[活躍]  활약
かつりょく[活力]  활력
かてい[仮定]  가정
ほうる[放る·抛る]  멀리 내던지다; 던지다; 집어치우다; 단념하다; 내버려두다; 방치하다
かつよう[活用]  활용; 용언·조동사의 어미 변화
かてい[課程]  과정
かてい[過程]  과정
ほけん[保健]  보건
かな[仮名]  한자의 일부를 따서 만든 일본 특유의 음절 문자
かなづかい[仮名遣(い)·仮字遣(い)]  말을 かな로 표기하는 법
かなう[叶う]  희망대로 되다; 이루어지다; 할 수 있다
ていか[定価]  정가
みそ[味噌]  된장; 된장 비슷한 것; 자랑거리; 특색
かって[勝手]  시먹음; 제멋대로 함
かじ[家事]  가사; 집안 일; 가정 사정
つける[浸ける]  잠그다; 담그다; 축이다
つける[点ける]  붙이다; 스위치를 틀어 켜다
かしつ[過失]  과실
かじつ[果実]  과실; 열매; 과일
かしま[貸間]  셋방
かしや[貸家]  셋집
つきる[尽きる]  다하다; 진하다; 떨어지다; 끝나다
かご[籠]  바구니
かこう[下降]  하강; 내려옴
かじる[齧る]  갉다; 베어 먹다; 그저 조금 알다
かじょう[過剰]  과잉
かず[数]  수; 여러 가지; 수가 많음; 특별히 세어 내세울 만한 가치 있는 것
かし[貸し]  꾸어 줌; 빌려 줌; 베푼 은혜·이익; ‘貸方’의 준말
かし[菓子]  과자
かざん[火山]  화산
かぜい[課税]  과세; 세금을 부과함; 또, 그 부과된 세금
かせん[下線]  밑줄
もうかる[儲かる]  벌이가 되다; 이가 남다; 득이 되다; 덕을 보다
かそく[加速]  가속
かそくど[加速度]  가속도
つうがく[通学]  통학
かしょ[箇所]  개소; 장소
つうか[通貨]  통화
かたい[硬い]  딱딱하다; 단단하다; 생경하다
つう[通]  통; 그 방면에 훤함; 세상 물정, 특히 남녀 관계에 훤히 트임; …통
ていれ[手入れ]  고침; 손질함; 범죄 수사와 범인 검거를 위하여 경찰관이 현장을 덮침; 단속
めでたい[目出度い·芽出度い·目出い]  경사스럽다; 축하할 만하다; 순조롭다; 좋다; 속기 쉽다; 호인이다
かたまり[固まり·塊(り)]  덩어리; 뭉치; 어떤 경향이 극단적으로 강한 사람
つぐ[次ぐ]  뒤를 잇다; 다음가다; 버금가다
かくじ[各自]  각자
かげ[影]  그림자; 자취; 형적; 환영; 곡두
かげ[陰]  그늘; 햇볕·불빛에 가려진 곳; 음영
かくじつ[確実]  확실
-つ-く[付く·附く]  소리·동작·모양이 그렇게 됨을 나타냄
かくじゅう[拡充]  확충
つく[突く]  찌르다; 내지르다; 충천하다
がくじゅつ[学術]  학술
つく[点く]  불이 켜지다; 붙다; 점화되다
つく[就く]  들다; 오르다; 그 자리에 앉다; 취임하다
かくち[各地]  각지
かくちょう[拡張]  확장
がくねん[学年]  학년
かける[欠ける]  이지러지다; 귀떨어지다; 흠지다; 이울다
つぐ[注ぐ]  쏟다; 붓다; 따르다
ぼうだい[膨大]  방대
かくほ[確保]  확보
つとめ[勤め]  근무함; 또, 그 일; 중의 일과로서의 수행; 근행; 창녀로서의 직업
つとめ[務め]  할 일; 의무; 임무
つきあたる[突き当(た)る]  부딪치다; 충돌하다; 막다른 곳에 이르다
かけつ[可決]  가결
つきあたり[突き当(た)り·突当り]  충돌; 마주침; 막다른 곳; 길이 막힌 곳
かげん[加減]  가감; 더하기와 빼기
かこう[火口]  화구; 화산의 분화구; 아궁이
かこう[加工]  가공
つかれ[疲れ]  피로
むすう[無数]  무수
ほうこう[方向]  방향
かこ[過去]  과거
つける[着ける]  대다; 갖다 붙이다; 닿게 하다
ほえる[吠える·吼える]  짖다; 으르렁거리다.; 사람이 큰 소리로 울다; 고함지르다
めいずる[命ずる]  명하다; 명령하다; 명명하다; 이름짓다
うんと  매우; 썩; 아주
え  네; 예; 어
えきたい[液体]  액체
えいきょう[影響]  영향
め[芽]  싹; 달걀의 알눈; 배반; 새로 생겨서 장차 발전하려는 것
えいせい[衛星]  위성
えいわ[英和]  영일; 영어와 일본어; ‘英和辞典’의 준말
ええと  저어; 거시기
えがく[描く]  그리다; 그림을 그리다; 묘사하다; 표현하다
めいしょ[名所]  명소; 명승지; 관광지
えのぐ[絵の具]  그림물감; 채료
えさ[餌]  모이; 먹이; 미끼; 사람의 양식
おいかける[追いかける]  뒤쫓아 가다; 한 가지 일에 뒤이어 잇달아 딴 일이 일어나다
ちょうかん[長官]  장관; ‘文化庁’과 같이 ‘庁’가 붙은 관청의 우두머리; ‘知事’의 구칭; →かみ
ちょうこく[彫刻]  조각
めざす[目指す·目差す]  지향하다; 목표로 하다; 노리다
おいつく[追いつく·追(い)付く]  따라붙다; 따라잡다; 달하다
えんぜつ[演説]  연설
えんじる[演じる]  →えんずる
おうえん[応援]  응원
ちゅうりつ[中立]  중립
-ちょう[帳]  …장; 장부·치부책 등을 나타내는 말
おうじょ[王女]  왕녀; 공주; 왕의 딸; 황족의 여자
おうじる[応じる]  →おうずる
おうべい[欧米]  구미; 유럽과 미국
つきあい[付き合い]  교제함; 교제상의 의리
おうよう[応用]  응용
おおう[覆う]  덮다; 씌우다; 가리다; 막다
-つき[付(き)]  붙어 있음; 부속됨; 모양; 풍채
おお-[大]  큰; 넓은; 대단한; 몹시; 대충
おお  야; 어; 응
つき[付(き)]  붙음; 부착성; 불붙음; 인화성; 배합; 어울림
めぐまれる[恵まれる]  혜택받다; 베풂을 받다; 많다; 풍족하다
おう[王]  왕; 임금; 군주; 親王가 아닌 황족
おおげさ[大げさ]  과장; 허풍을 떪; 대규모; 큰 가사
おうずる[応ずる]  응하다; 답하다; 받아들이다; 승낙하다
おうせつ[応接]  응접; 접대; 면회
おうたい[応対]  응대; 응접
もうける[儲ける]  벌다; 이익을 보다; 덕을 보다
えらい[偉い]  훌륭하다; 비범하다; 지위·신분이 높다; 대단하다; 심하다
めいぶつ[名物]  명물; 유명한 것; 그 고장의 명산물; 특히, 식품을 이름
えんげい[園芸]  원예
えんしゅう[円周]  원주; 원둘레
えんじょ[援助]  원조
めいめい[銘銘]  각자; 제각기; 각각
えん[園]  원
めいじる[命じる]  →めいずる
えんちょう[延長]  연장
えんとつ[煙突]  굴뚝; 택시가 요금 미터를 꺾지 않고 세운 채로 달리는 일
えんき[延期]  연기
ちょうじょう[頂上]  정상; 절정
えんぎ[演技]  연기; 겉으로 꾸민 짓
ちりがみ[ちり紙]  휴지; 화장지
おもいきり[思い切り]  체념; 단념; 마음껏; 실컷
おびやかす[脅かす]  위협하다; 위태롭게 하다
おもいがけない[思いがけない]  의외이다; 생각해 본 일도 없다; 뜻밖이다
ちらす[散らす]  흩뜨리다; 어지르다; 어수선하게 하다; 분산시키다; 산개하다
むげん[無限]  무한
おはよう[お早う]  안녕; 잘 잤니
おび[帯]  띠; ‘帯紙·帯番組’의 준말
おひる[お昼]  낮; 점심
ちょっけい[直径]  직경; 지름
おや[親]  어버이; 부모; 선조; 원조; 사물의 근본
おやすみ[お休み]  ‘寝る’ ‘休む’의 공손한 말씨; 잘 때의 인사말; ‘休業’ ‘欠勤’의 공손한 말씨
おやつ[お八つ·御八つ]  오후의 간식
おまいり[お参り]  신불을 참배하러 감; 참배함
おまえ[お前]  너; 자네
おまちどおさま[お待(ち)遠様]  오래 기다리셨습니다
おめでたい[御目出度い·御芽出度い]  경사스럽다; 호인이다; 모자라다; 지나치게 낙관적이다; 어수룩하다
おまけ[お負け]  값을 깎음; 덤; 경품; 뒤에 덧붙은 것; 덧거리
おめでとう[御目出度う·御芽出度う]  축하합니다
めい[姪]  질녀; 조카딸
おろす[卸す]  도매하다; 강판에 갈다
ちょしょ[著書]  저서
おもに[主に]  주로; 대부분
おんちゅう[御中]  귀중; →さま
おんたい[温帯]  온대
おんだん[温暖]  온난
ちょぞう[貯蔵]  저장
およぎ[泳ぎ]  수영; 헤엄; 처세; 세상살이
ちょっかく[直角]  직각
およぼす[及ぼす]  미치게 하다
ちょしゃ[著者]  저자; 작자
ついで[次いで]  뒤이어; 잇따라서; 그 다음에
-か[化]  …화; …이 되다; …로 하다
-か[歌]  …가; 노래
か[科]  과; 교육·학문 등 분야 등을 나타내는 구분; 생물 분류상의 한 계급
おそらく[恐らく]  아마; 어쩌면; 필시.
ほうそう[包装]  포장
つうずる[通ずる]  →つうじる
もうしわけ[申し訳]  변명; 해명; 실질은 없고 명목뿐임
ほうがく[方角]  방위; 방향; 수단 방법
まぶた[目蓋·瞼]  눈꺼풀
おそれる[恐れる]  두려워하다; 겁내다; 무서워하다; 걱정하다; 우려하다
おそれ[恐れ]  두려움; 두려워하는 마음; 외경의 마음
ほうたい[包帯]  붕대
おだやか[穏やか]  온화함; 평온함; 온건함; 침착하고 조용함; 공손함
おのおの[各]  각각; 각기; 여러분; 제군
おてつだいさん[お手伝いさん]  가정부; ‘女中’의 고친 이름
むしろ[寧ろ]  차라리; 오히려
おどかす[脅かす]  으르다; 위협하다; 깜짝 놀라게 하다
おぼれる[溺れる]  빠지다; 물에 빠지다; 탐닉하다
ついか[追加]  추가
おに[鬼]  귀신; 상상의 괴물; 죽은 사람의 영혼; 신
おとる[劣る]  차하지다; 못하다; 뒤떨어지다
おか[丘]  언덕; 작은 산; 구릉
おかず[御数·御菜]  반찬; 부식
おがむ[拝む]  공손히 절하다; 배례하다; 간절히 바라다; 빌다; 뵙다; 보다
おかわり[お代(わ)り]  같은 음식을 다시 더 먹음; 또, 그 음식
おき[沖]  난바다; 물가에서 멀리 떨어진 바다 위 또는 호수 위; 앞에 멀리 트인 곳
-づかい[遣(い)]  사용; 씀; 목소리 등의 상태
つうよう[通用]  통용; 세상에서 널리 인정되어 통함; 일반에게 널리 쓰임
おくりがな[送(り)仮名]  한자로 된 말을 분명히 읽기 위하여 한자 밑에 받치는 仮名; 한문을 훈독하기 위하여, 한자의 오른쪽 아래에 다는 仮名
おくる[贈る]  보내다; 주다; 선사하다; 상대에게 칭찬·열광하는 뜻의 행위를 하다
つうろ[通路]  통로; 보도; 길
おおよそ[大凡]  대강; 대략; 보통; 세상 일반; 대체로; 약
めんせき[面積]  면적; 넓이
つうち[通知]  통지; 알림
おさめる[収める]  거두다; 얻다; 손에 넣다; 성과를 올리다
おさめる[納める]  바치다; 납입하다; 거두다; 받아들이다
おさめる[治める]  다스리다; 지배하다; 통치하다; 고치다; 치료하다
おしい[惜しい]  아깝다; 섭섭하다; 애석하다; 분하다
おじぎ[御辞儀]  절함; 인사함; 사퇴; 사양
おぎなう[補う]  보충하다; 변상하다; 보상하다
おかす[侵す]  침범하다; 침해하다
おしゃべり[お喋り]  지껄임; 수다스러움; 잡담
おせん[汚染]  오염
うどん[饂飩]  가락국수; 우동
うらみ[恨み]  원한; 앙심
うらなう[占う]  점치다
うばう[奪う]  빼앗다; 빼앗아 가다; 사로잡다; 끌다
うなる[唸る]  웅웅 소리를 내다; 또, 그런 소리가 나다; 신음하다; 으르렁거리다; 쥐어짜는 소리로 길게 뽑아 부르다
ちょうほうけい[長方形]  직사각형
うまい[上手い·巧い]  솜씨가 뛰어나다; 좋다; 잘하다
ちりょう[治療]  치료
ぼくちく[牧畜]  목축
うれゆき[売(れ)行き]  팔리는 상태; 팔림새
ちょくりゅう[直流]  직류; 항상 방향이 일정한 전류; 곧은 흐름; 또, 곧게 흐르는 흐름
ちょうだい[頂戴]  받음; 주십시오; 주세요
うやまう[敬う]  존경하다; 숭상하다
うむ[有無]  유무
ちょうたん[長短]  장단; 긴 것과 짧은 것; 남는 것과 부족한 것
うらぎる[裏切る]  배반하다; 적과 내통하다; 어긋나다; 반대 결과가 되다
うらぐち[裏口]  뒷문; 뒤쪽의 등산길 입구; 뒷구멍; 부정한 수단
うらがえす[裏返す]  뒤집다
めいしん[迷信]  미신
ちょうせつ[調節]  조절
うらやむ[羨む]  부러워하다; 샘하다; 선망하다
うらむ[恨む]  원망하다; 분하게 여기다; 원한을 풀다; 복수하다
むれ[群(れ)]  떼; 무리; 동아리
むらさき[紫]  자색; 보랏빛; 지치; ‘しょうゆ’의 딴 이름
うりきれる[売(り)切れる]  다 팔리다; 매진되다
うる[得る]  →える; … 수 있다
ちょうてん[頂点]  정점; 각을 이룬 두 직선의 교차점; 꼭지점; 꼭대기; 절정
えいきゅう[永久]  영구
うわ-[上]  위치가 위·겉임을 나타냄; 가치·정도가 높음을 나타냄; 실내 따위에서 사용하는 물건
ぼうはん[防犯]  방범
ほうふ[豊富]  풍부
ちょうき[長期]  장기
でんし[電子]  전자
うけたまわる[承る]  ‘聞く’의 겸사말; 삼가 듣다; ‘引き受ける’의 겸사말; 삼가 받다; ‘承諾する’의 겸사말; 삼가 승낙하다
うけとり[受(け)取り]  수취함; 받음; 영수증
ちゅう[注]  주; 풀이; 주해
ちてん[地点]  지점; 곳
うしなう[失う]  잃다; 잃어버리다; 죽이다
ちゃくちゃく[着着]  착착; 한걸음 한걸음
うつ[撃つ]  공격하다; 총포를 쏘다; 목표에 탄알을 맞히다
うつ[討つ]  베어 죽이다; 토벌하다; 공멸하다
うすめる[薄める]  엷게 하다
てんてん[転転]  전전; 여기저기 옮겨 다님; 굴러감
うたがう[疑う]  의심하다; 혐의를 두다
ちゃ[茶]  차; 찻잎; 다도
うちあわせ[打ち合(わ)せ·打合せ]  타합; 협의; 의복의 앞길이 겹치는 부분
うなずく[頷く·肯く·首肯く·項突く]  수긍하다; 끄덕이다
うちけす[打(ち)消す]  부정하다; 없애다; 지우다
うちゅう[宇宙]  우주; 천지
うったえる[訴える]  소송하다; 고소하다; 호소하다; 작용하다
てんてん[点点]  몇 개의 점; 얼룩; 반점; 여기저기 흩어져 있는 모양
ちへいせん[地平線]  지평선
ちのう[知能]  지능
でんとう[伝統]  전통
ちたい[地帯]  지대
いわゆる[所謂]  소위; 이른바
いんたい[引退]  은퇴; 일선에서 물러남
いんよう[引用]  인용
いんりょく[引力]  인력
ほお[頬]  볼; 뺨
どう[銅]  동; 구리
ちゅうしょう[抽象]  추상
でんち[電池]  전지
うえき[植木]  정원수; 분재; 화분에 심어 기르는 나무
うえる[飢える]  굶주리다
うお[魚]  물고기
めいし[名詞]  명사
うかぶ[浮(か)ぶ]  뜨다; 괴로운 처지를 벗어나다; →うかべる
どう[道]  도; ‘北海道’의 준말; 길; 도로
ひねる[拈る·捻る]  비틀다; 틀다; 틀어서 방향을 바꾸다; 뒤틀다; 생각을 짜내다
りゅういき[流域]  유역
ひのいり[日の入り]  일몰; 해넘이
りょうし[漁師]  고기잡이; 어부
りょうじ[領事]  영사
ひふ[皮膚]  피부; 살갗
ひとどおり[人通り]  사람의 왕래
ひととおり[一通り]  대강; 얼추; 필요한 것; 일습; 보통; 엔간함
ひにち[日日]  날; 날수; 나날; 매일
りょう[料]  재료; 용품; 대금; 비용; …료
ひにく[皮肉]  가죽과 살; 전하여, 신체; 빈정거림; 비꼼; 짓궂은 일을 당한 것 같은 결과; 빈정거리는 투; 얄궂음; 짓궂음
りょう[領]  영역; 영토; 옛날에, 郡司의 장관·차관; …령
りょう[寮]  기숙사; 보양을 위해 쓰이는 별도의 건물; 요양소; 律令제에서, 성에 속한 궁중의 관아
りょうしゅう[領収]  영수
-りょく[力]  …력; 힘; 능력
りんじ[臨時]  임시
ひびく[響く]  울리다; 울려 퍼지다; 여운을 끌며 들리다
れい[例]  예; 선례; 전례; 표준이 되는 사항; 본보기
れい[礼]  예; 예의; 인사; 절; 감사의 뜻
ひひょう[批評]  비평
ひとり[独り]  혼자; 독신; 다만; 단지
ひとりでに[独りでに]  저절로; 제물로; 자연히
れいてん[零点]  영점
ひびき[響き]  울림; 그 소리; 반향; 반응; 영향
れいぎ[礼儀]  예의
ひとりごと[一人言·独り言]  혼잣말; 독백
れんごう[連合]  연합
らんぼう[乱暴]  난폭; 앞뒤 생각 없이 충동적으로 하는 모양; 완력을 휘둘러 폐를 끼침
らん[欄]  난간; 난; 칼럼
りく[陸]  뭍; 육지
ひなん[非難]  비난
びみょう[微妙]  미묘
りがい[利害]  이해
りえき[利益]  이익; 쓸모가 있음
りつ[率]  율; 비율
ひので[日の出]  일출; 해돋이; 욱일승천하듯 기세가 등등함
ひみつ[秘密]  비밀
みょうじ[名字]  성씨; 성
ひはん[批判]  비판
りゃくす[略す]  간단히 하다; 생략하다; 약취하다; 유괴하다; 후무리다
わずか[僅か·纔か]  얼마 안 되는 모양; 조금; 약간; 불과
わりあい[割合]  비율; …치고는; …에 비해
わりと[割と]  비교적
まつる[祭る]  제사 지내다; 혼령을 모시다
ひょうしき[標識]  표지
わびる[詫びる]  사죄하다; 사과하다
わふく[和服]  일본옷
われわれ[我我]  →われら12
わん[椀·碗·埦]  공기; 도자기의 식기; 공기 수를 세는 말
わん[湾]  만
みじめ[惨め]  비참함; 참혹함
わるくち[悪口]  욕
ふあん[不安]  불안
わ[和]  화목; 화해; 일본의
ぶ-[不]  좋지 않은
-わ[羽]  마리
ろんそう[論争]  논쟁
ろんぶん[論文]  논문
ぶ-[無]  否定의 뜻을 나타냄
ろんずる[論ずる]  논하다
ろん[論]  논; 사리가 분명한 설명; 이론; 의견; 견해
ぶ[部]  부; 나눈 한 구분; 질
ぶ[分]  무엇을 몇 등분한 것의 하나; 특히, 한 치·일 할·一文의 10분의 일; 두께의 정도; 우열의 비율
ひんこん[貧困]  빈곤
わがまま[我侭]  제멋대로 굶; 버릇없음; 방자함
わえい[和英]  일영; 일본어와 영어
わが[我が]  나의; 우리의
びん[瓶]  병
びんせん[便箋]  편전지; 편지지
わく[涌く·湧く]  솟다; 샘솟다; 솟아나다
わき[脇]  겨드랑이; 옷의 겨드랑이 부분; 옆; 곁; 뒤로 미룸; 나중으로 돌림
ひろめる[広める]  넓히다; 널리 퍼지게 하다; 보급시키다
わた[綿]  목화; 솜; 풀솜
びん[便]  편지; 소식; 나름; 나르는 수단; 형편; 편의
れんが[煉瓦]  연와; 벽돌
れっとう[列島]  열도
みまん[未満]  미만
ひとやすみ[一休み]  잠깐 쉼
れんそう[連想]  연상
れんぞく[連続]  연속
ろうどう[労働]  노동
ろうそく[蠟燭]  초; 양초
ひとみ[眸·瞳]  눈동자; 동공; 눈
ローマじ[ローマ字]  로마자
あお[青]  파란색; 파랑; ‘青毛’의 준말; 푸른
-みたい  …같다; …비슷하다; …싶다
ふんすい[噴水]  분수
まいすう[枚数]  매수; 장수
ぶんせき[分析]  분석
み[実]  열매; 과실; 씨; 종자; 국 건더기
みんしゅ[民主]  민주
へいや[平野]  평야
へい[塀]  담; 특히, 널판장
へそ[臍]  배꼽; 물건의 중심부에 있는 높은 부분; 특히, 맷돌 중쇠· 놋좆 따위
へだてる[隔てる]  사이를 떼다; 사이에 두다; 칸을 막다; 가로막다; 멀리하다; 싫어하다
へだたる[隔たる]  떨어지다; 지나다; 경과하다; 사이가 차단되다; 가로막히다
へいたい[兵隊]  병대; 군대; 또, 그 병정
へこむ[凹む]  욱다; 움푹 패다; 굴복하다; 찌부러지다; 밑지다
みほん[見本]  견본; 겨냥; 표본
みのる[実る]  열매를 맺다; 여물다; 결실하다
ふる-[古]  낡음; 헌 것; 나이가 들어 경험을 쌓은; 이전에 그 상태에 있었던
ふるさと[古里·故里·故郷]  고향; 예전에 살던 곳; 고적
ますます[益·益益]  점점; 더욱더
ふれる[触れる]  접촉하다; 닿다; 들어오다; 느끼다; 대다; 건드리다
ふろしき[風呂敷]  보자기; 허풍
ふろ[風呂]  목욕; 목욕통; 대중목욕탕; 칠을 한 칠기를 넣어 말리는 상자
ふわふわ  둥실둥실; 둥둥; 푹신푹신; 달걀 따위를 부풀게 한 요리
ぶん[分]  분; 분수; 분…; 나뉜; …분
ぶん[文]  글; 글월; 문절; …문
みちる[満ちる]  차다; 그득 차다; 둥글어지다
ふんか[噴火]  분화
ぶんかい[分解]  분해
ぶんげい[文芸]  문예
またぐ[跨ぐ]  가랑이를 벌리고 서다
ぶんたい[文体]  문체
ぶんぷ[分布]  분포
みつ[密]  비밀; 빽빽함; 꽉 들어참; 잘 미침; 긴밀
ぶんや[分野]  분야; 영역; 활동 범위
ぶんみゃく[文脈]  문맥; 어떤 사물의 배경이나 주위 상황; 맥락
ぶんめい[文明]  문명
ぶんりょう[分量]  분량
ぶんるい[分類]  분류
へいかい[閉会]  폐회
まい-[毎]  매…; 그때마다의
まあまあ  자자; 그저; 불충분하지만 그 정도로서 만족할 수 있음을 나타냄; 그저 그런 정도; 어머나
み[未]  양; 지지의 여덟째.; 미…; 아직 …되지 않음
ふぶき[吹雪]  눈보라
まさつ[摩擦]  마찰
ふへい[不平]  불평
ふぼ[父母]  부모
まく[幕]  막; 가리거나 칸막이로 쓰는 넓은 천; 연극의 일단락을 세는 말
まくら[枕]  베개; 잘 때 머리를 두는 방향; 밑에 받쳐 지탱함; 또, 그것
ふと[不図]  뜻밖에; 우연히; 갑자기; 잠시; 간단히; 쉽게
ぶらさげる[ぶら下げる]  축 늘어뜨리다; 매달다; 손에 들다
ふなびん[船便·舟便]  선편; 배편
まさに[将に]  바야흐로; 막; 하마터면
ふりがな[振(り)仮名]  한자 옆에 읽는 법을 仮名로 단 것
ふりむく[振(り)向く]  돌아보다; →ふりむける
ふもと[麓]  기슭
まく[蒔く·播く]  뿌리다; 파종하다; 원인을 만들다; 무늬를 놓다
まく[撒く]  뿌리다; 살포하다; 동행자·미행자 따위를  교묘히 따돌리다
ふるまう[振(る)舞う]  행동하다; 대접하다; 향응하다
ふり[不利]  불리; 불이익
-ぶり[振り·風]  모습; 모양; 양식; …만에
ふし[節]  마디; 대나무·갈대 등의 줄기의 마디; 사람이나 동물의 관절
ぶし[武士]  무사
たんなる[単なる]  단순한
ふじん[夫人]  부인; 남의 아내의 경칭; 옛날 중국에서, 천자·제후의 아내의 칭
ふじん[婦人]  부인; 여성
ふすま[襖]  맹장지
みかづき[三日月]  초사흘 달; 초승달; 또, 그런 모양
ふせい[不正]  부정
みかけ[見掛け]  외관; 겉보기
ふせぐ[防ぐ]  막다; 방어하다; 미리 저지하다; 방지하다
あいず[合図]  신호
まじる[混じる·交じる]  섞이다; 혼입하다; 사귀다; 교제하다
ふたん[負担]  부담
ふつう[不通]  불통; 교통·통신·뜻 등이 통하지 않음; 교제를 끊음
ぶつ[打つ]  때리다; 치다; 연설하다의 힘줌말
ぶつ[物]  →えらぶつ; 현물; 물건; …물
むける[向ける]  향하다; 돌리다; 돌려쓰다; 충당하다
ぶっそう[物騒]  세상이 뒤숭숭하고, 위험한 상태
みずから[自ら]  몸소; 자신이; 자기; 자신
みりょく[魅力]  매력
とう[等]  등급; 품등; …등; 따위
ぶっしつ[物質]  물질
ふきそく[不規則]  불규칙
ふくすう[複数]  복수; 둘 이상의 수; 영어 등 문법에서 사물이 둘 이상임을 나타내는 말이나 어형
ふきん[付近·附近]  부근; 근처
むかう[向かう]  향하다; 면하다; 보다; 대하다
ふく[副]  부본; 부…
ふくし[副詞]  부사
ふくしゃ[複写]  복사; 카피
ふくそう[服装]  복장
ふくむ[含む]  포함하다; 함유하다; 봉오리지다; →ふくめる
ふくめる[含める]  포함시키다; 품게 하다; 잘 설명해 납득시키다
ふくらます[膨らます]  부풀게 하다; 부풀리다; 불룩하게 하다
ふくらむ[膨らむ]  부풀다; 부풀어 오르다; 불룩해지다; 규모가 커지다
ふくろ[袋]  자루; 주머니; 자루 비슷한 것; 과일의 알을 싸고 있는 껍질
ふける[更ける]  깊어지다; 이슥해지다; 한창이다
ふごう[符号]  부호; 기호
ふけつ[不潔]  불결; 더러움
ふこう[不幸]  불행; 행복하지 않음; 초상; 가족·친척의 죽음
ふしぎ[不思議]  불가사의; 이상함
ぶじ[無事]  무사; 평온함; 무위; 무료함
ぶしゅ[部首]  부수; →へんぼうかんきゃく
ふじゆう[不自由]  부자유; 자유롭지 못함; 속박되어 있음; 기능이 불완전함
ふぞく[付属·附属]  부속; ‘付属学校’의 준말
ふたたび[再び]  두 번; 재차; 다시
ます[増す]  커지다; 많아지다; 더욱 …해지다; 더 한층 …하다; 많게 하다; 보태다
まちあわせる[待ち合(わ)せる·待合せる]  시간·장소를 미리 정하고 만나기로 하다
ふたご[双子]  쌍둥이; 쌍생아
ふざける[巫山戯る]  희룽거리다; 농하다; 실덕거리다; 남녀가  치신없이 시시덕거리다; 새롱거리다
ぶさた[無沙汰]  소식을 전하지 않음; 특히, 방문·편지 왕래가 오랫동안 끊어짐; 격조
ふさがる[塞がる]  막히다; 메다; 닫히다; 차다; 이미 차 있어 여유가 없다
ふさぐ[塞ぐ]  막다; 틀어막다; 가리다; 우울해지다; 답답해지다
ひろば[広場]  광장; 넓은 장소; 비유적으로, 의사 소통이 가능한 곳
ひろびろ[広広]  널찍한 모양
ひん[品]  갖추어진 성질; 품질; …품; 물건
ひろう[疲労]  피로; 비유적으로, 지나친 사용으로 그 부분의 재질 따위가 약해지는 일
みやこ[都]  서울; 수도; 인구가 많고 번화한 중심적인 도시; 무언가를 특징으로 하고 있는 도시
-み  …이므로; …이기 때문에; …다가 …다가
ふうせん[風船]  풍선; 기구; ‘風船玉’ ‘紙風船’의 준말
ふ-[不]  불…; →ぶ-
ふか[不可]  불가; 옳지 않음; 할 수 없음을 나타내는 말
ふう[風]  풍습; 풍속; 모양; 외양; …풍; …식
みごと[見事·美事]  훌륭함; 멋짐; 완전함
ふきゅう[普及]  보급
ふえ[笛]  피리; 저; 호각
みさき[岬]  갑; 곶
ふうん[不運]  불운
まちあいしつ[待合室]  대합실
ぶき[武器]  무기
ほとけ[仏]  부처; 불타; 고인; 사자; 정직하고 착한 사람; 자비로운 사람
ほほ[頬]  →ほお
みなれる[見慣れる]  늘 보아서 익숙하다; 눈익다
みんよう[民謡]  민요
-びょう[病]  …병
ひょうか[評価]  평가
ひょうじゅん[標準]  표준
むじゅん[矛盾]  모순
びょうどう[平等]  평등
ひょうばん[評判]  세상의 평; 잘 알려져 화제에 오름; 인기가 있음
ひょうほん[標本]  표본; 채집 보존된 견본; 실물 비슷하게 만든 견본
みちじゅん[道順]  길; 순서
あいついで[相次いで]  연달아; 잇따라
あおぞら[青空]  파랗게 갠 하늘; 창공; 노천; 야외
あげる[揚げる]  높이 올리다; 뭍으로 옮기다; 양륙하다; 빨아올리다
あり[有り·在り]  있다; 존재하다
あわい[淡い]  진하지 않다; 관심이나 집착이 강하지 않다; 아련하다; 희미하다; 어슴푸레하다
いざかや[居酒屋]  선술집; 목로 술집; 대폿집
いさん[遺産]  유산
いっすい[一睡]  한 잠
いぶつ[遺物]  유물; 유품; 고인이 남긴 것; 유실물
いまごろ[今頃]  지금쯤; 이맘때; 이제
